classification	snippet	replace
DECLINE	Intel's shares dropped by 12% after a disappointing earnings report	#COMPANY's shares dropped by #PERCENT after a disappointing earnings report.
TECHNOLOGY	IBM announced a breakthrough in quantum computing with its latest processor	#COMPANY announced a breakthrough in quantum computing with its latest processor.
STRATEGY	Uber is shifting its focus to electric vehicles to meet its sustainability goals	#COMPANY is shifting its focus to #PRODUCT to meet its sustainability goals.
REGULATORY	Google is under investigation by the EU for antitrust violations	#COMPANY is under investigation by the #GOVERNMENT_AGENCY for antitrust violations.
MARKET_MOVE	Tesla's stock surged by 8% following strong delivery numbers	#COMPANY's stock surged by #PERCENT following strong delivery numbers.
INNOVATION	Apple introduced new augmented reality features in its latest iOS update	#COMPANY introduced new augmented reality features in its latest #PRODUCT update.
AWARDS	Microsoft was named the most innovative company of the year by Fast Company	#COMPANY was named the most innovative company of the year by #ORGANIZATION.
CSR	Starbucks launched a new initiative to support coffee farmers in developing countries	#COMPANY launched a new initiative to support coffee farmers in developing countries.
ACQUISITION	Oracle completed its acquisition of Cerner for $28.3 billion	#COMPANY completed its acquisition of #COMPANY for #AMOUNT.
PARTNERSHIP	Salesforce and Slack announced a new collaboration to enhance business communications	#COMPANY and #COMPANY announced a new collaboration to enhance business communications.
FINANCIALS	Amazon's net income increased to $14.3 billion in the second quarter	#COMPANY's net income increased to #AMOUNT in the second quarter.
PRODUCT_LAUNCH	Samsung launched its latest Galaxy smartphone with advanced camera features	#COMPANY launched its latest #PRODUCT with advanced camera features.
LEGAL	Apple settled a patent infringement lawsuit with Qualcomm	#COMPANY settled a patent infringement lawsuit with #COMPANY.
STAFFING	"Google plans to cut 10,000 jobs as part of its restructuring efforts"	#COMPANY plans to cut #AMOUNT jobs as part of its restructuring efforts.
GROWTH	Shopify reported a 45% increase in revenue compared to last year	#COMPANY reported a #PERCENT increase in revenue compared to last year.
DECLINE	eBay's sales fell by 5% amid increased competition	#COMPANY's sales fell by #PERCENT amid increased competition.
TECHNOLOGY	IBM unveiled a new AI system capable of natural language processing	#COMPANY unveiled a new #PRODUCT capable of natural language processing.
STRATEGY	Facebook is focusing on developing the metaverse as its next big platform	#COMPANY is focusing on developing the #PRODUCT as its next big platform.
REGULATORY	Microsoft is appealing a $1 billion fine imposed by the European Commission	#COMPANY is appealing a #AMOUNT fine imposed by the #GOVERNMENT_AGENCY.
MARKET_MOVE	Netflix's shares rose by 6% following the announcement of new original content	#COMPANY's shares rose by #PERCENT following the announcement of new original content.
INNOVATION	"Tesla revealed its new battery technology, promising longer range and faster charging"	"#COMPANY revealed its new #PRODUCT, promising longer range and faster charging."
AWARDS	Google received the Best Workplace award from Fortune magazine	#COMPANY received the Best Workplace award from #ORGANIZATION.
CSR	Microsoft committed to becoming carbon negative by 2030	#COMPANY committed to becoming carbon negative by #DATE.
ACQUISITION	Amazon acquired Zoox for $1.2 billion to enhance its autonomous driving capabilities	#COMPANY acquired #COMPANY for #AMOUNT to enhance its autonomous driving capabilities.
PARTNERSHIP	Intel and TSMC have entered a partnership to produce next-generation chips	#COMPANY and #COMPANY have entered a partnership to produce next-generation chips.
FINANCIALS	"Apple's quarterly profit reached $28.8 billion, exceeding analysts' expectations"	"#COMPANY's quarterly profit reached #AMOUNT, exceeding analysts' expectations."
PRODUCT_LAUNCH	Google introduced its new Pixel phone with enhanced AI features	#COMPANY introduced its new #PRODUCT with enhanced AI features.
LEGAL	Microsoft settled a discrimination lawsuit for $5 million	#COMPANY settled a discrimination lawsuit for #AMOUNT.
STAFFING	"Uber announced plans to hire 5,000 new drivers in the next quarter"	#COMPANY announced plans to hire #AMOUNT new drivers in the next quarter.
GROWTH	"Amazon's cloud division, AWS, saw a 30% growth in revenue"	"#COMPANY's cloud division, #SUBSIDIARY, saw a #PERCENT growth in revenue."
DECLINE	Facebook reported a 10% decline in user engagement year-over-year	#COMPANY reported a #PERCENT decline in user engagement year-over-year.
TECHNOLOGY	IBM released a new blockchain platform aimed at improving supply chain transparency	#COMPANY released a new #PRODUCT aimed at improving supply chain transparency.
STRATEGY	Netflix is expanding its content library to include more international shows	#COMPANY is expanding its content library to include more international shows.
REGULATORY	Google is facing increased scrutiny from regulators over its advertising practices	#COMPANY is facing increased scrutiny from regulators over its advertising practices.
MARKET_MOVE	Apple's stock hit an all-time high after a strong earnings report	#COMPANY's stock hit an all-time high after a strong earnings report.
INNOVATION	Tesla announced a new solar roof product with higher efficiency	#COMPANY announced a new #PRODUCT with higher efficiency.
AWARDS	Amazon was awarded Best Customer Service by J.D. Power	#COMPANY was awarded Best Customer Service by #ORGANIZATION.
CSR	Google pledged $100 million to support racial equality initiatives	#COMPANY pledged #AMOUNT to support racial equality initiatives.
ACQUISITION	Facebook completed its acquisition of Giphy for $400 million	#COMPANY completed its acquisition of #COMPANY for #AMOUNT.
PARTNERSHIP	IBM and Red Hat are collaborating on hybrid cloud solutions	#COMPANY and #COMPANY are collaborating on hybrid cloud solutions.
FINANCIALS	Microsoft's revenue grew to $41.7 billion in the third quarter	#COMPANY's revenue grew to #AMOUNT in the third quarter.
PRODUCT_LAUNCH	Samsung introduced a new line of 8K televisions	#COMPANY introduced a new line of #PRODUCT.
LEGAL	Amazon is being sued by employees over COVID-19 safety measures	#COMPANY is being sued by employees over #EVENT safety measures.
STAFFING	Google plans to expand its workforce by 20% this year	#COMPANY plans to expand its workforce by #PERCENT this year.
GROWTH	Apple's services segment saw a 27% increase in revenue	#COMPANY's services segment saw a #PERCENT increase in revenue.
DECLINE	Tesla's market share in Europe declined by 8% last year	#COMPANY's market share in #LOCATION declined by #PERCENT last year.
TECHNOLOGY	Microsoft announced a new AI tool for developers	#COMPANY announced a new #PRODUCT for developers.
STRATEGY	Facebook is focusing on video content to drive user engagement	#COMPANY is focusing on video content to drive user engagement.
REGULATORY	Amazon is under investigation for potential antitrust violations	#COMPANY is under investigation for potential antitrust violations.
MARKET_MOVE	Google's shares increased by 5% after the announcement of new ad products	#COMPANY's shares increased by #PERCENT after the announcement of new ad products.
INNOVATION	Apple is developing new health monitoring features for its smartwatch	#COMPANY is developing new health monitoring features for its #PRODUCT.
ENTITY	Microsoft announced a partnership with Alphabet Inc. to develop AI-powered solutions	#COMPANY announced a partnership with #COMPANY to develop AI-powered solutions
ENTITY	Google is acquiring Fitbit for $2.1 billion in a move to expand its wearables business	#COMPANY is acquiring #COMPANY for $2.1 billion in a move to expand its wearables business
OTHER	Apple's CEO Tim Cook unveiled the latest iPhone model at a special event in Cupertino	#COMPANY's CEO #PERSON unveiled the latest #PRODUCT model at a special event in #LOCATION
ENTITY	"Amazon Web Services (AWS) experienced a major outage, causing disruption to various online services"	"#COMPANY (AWS) experienced a major outage, causing disruption to various online services"
OTHER	Facebook is facing criticism over its handling of user data privacy concerns	#COMPANY is facing criticism over its handling of user data privacy concerns
ENTITY	Intel Corporation announced plans to invest $20 billion in expanding its semiconductor manufacturing facilities	#COMPANY announced plans to invest $20 billion in expanding its semiconductor manufacturing facilities
ENTITY	Tesla CEO Elon Musk tweeted about plans to launch a new electric vehicle model	#COMPANY CEO #PERSON tweeted about plans to launch a new #PRODUCT model
OTHER	"Netflix reported a surge in subscriber growth, surpassing analyst expectations"	"#COMPANY reported a surge in subscriber growth, surpassing analyst expectations"
ENTITY	"Salesforce acquired Slack Technologies for $27.7 billion, aiming to strengthen its collaboration tools"	"#COMPANY acquired #COMPANY for $27.7 billion, aiming to strengthen its collaboration tools"
PARTNER	IBM and Adobe announced a strategic partnership to enhance customer experience management solutions	#COMPANY and #COMPANY announced a strategic partnership to enhance customer experience management solutions
ENTITY	Oracle Corp. faced backlash over its handling of security vulnerabilities in its software products	#COMPANY faced backlash over its handling of security vulnerabilities in its software products
OTHER	Uber Technologies faced legal challenges related to its classification of drivers as independent contractors	#COMPANY faced legal challenges related to its classification of drivers as independent contractors
ENTITY	"Twitter CEO Jack Dorsey announced plans to step down from his role, sparking speculation about leadership changes"	"#COMPANY CEO #PERSON announced plans to step down from his role, sparking speculation about leadership changes"
OTHER	"Airbnb's IPO soared on its first day of trading, valuing the company at over $100 billion"	"#COMPANY's IPO soared on its first day of trading, valuing the company at over $100 billion"
ENTITY	Reddit experienced a surge in user engagement following the GameStop stock frenzy	#COMPANY experienced a surge in user engagement following the #PRODUCT frenzy
PARTNER	HP Inc. partnered with Microsoft to develop a new range of productivity tools for remote work	#COMPANY partnered with #COMPANY to develop a new range of productivity tools for remote work
ENTITY	Dropbox faced criticism over its decision to implement workforce reductions amid the pandemic	#COMPANY faced criticism over its decision to implement workforce reductions amid the pandemic
OTHER	Snap Inc. unveiled its new Spectacles with augmented reality features at a virtual event	#COMPANY unveiled its new #PRODUCT with augmented reality features at a virtual event
ENTITY	Zoom Video Communications reported record revenues in its latest quarterly earnings report	#COMPANY reported record revenues in its latest quarterly earnings report
OTHER	"LinkedIn faced backlash over its data privacy practices, leading to calls for regulatory intervention"	"#COMPANY faced backlash over its data privacy practices, leading to calls for regulatory intervention"
ENTITY	Mozilla Corporation announced plans to lay off 250 employees amid restructuring efforts	#COMPANY announced plans to lay off #AMOUNT employees amid restructuring efforts
OTHER	"Oracle Cloud experienced service disruptions, affecting several major websites and online services"	"#COMPANY Cloud experienced service disruptions, affecting several major websites and online services"
ENTITY	Square Inc. launched a new feature enabling users to buy and sell Bitcoin directly in its Cash App	#COMPANY launched a new feature enabling users to buy and sell #PRODUCT directly in its Cash App
OTHER	"Adobe Systems Inc. reported strong quarterly earnings, driven by robust demand for its Creative Cloud services"	"#COMPANY reported strong quarterly earnings, driven by robust demand for its #PRODUCT services"
ENTITY	Roku Inc. announced plans to acquire Quibi's content library for an undisclosed sum	#COMPANY announced plans to acquire #COMPANY's content library for an undisclosed sum
OTHER	"TikTok faced scrutiny over its data privacy practices, with regulators considering bans in several countries"	"#COMPANY faced scrutiny over its data privacy practices, with regulators considering bans in several countries"
ENTITY	Oracle CEO Safra Catz expressed optimism about the company's cloud computing prospects	#COMPANY CEO #PERSON expressed optimism about the company's cloud computing prospects
OTHER	"Uber Eats faced backlash over its pricing policies, with customers expressing frustration over surge pricing"	"#COMPANY #PRODUCT faced backlash over its pricing policies, with customers expressing frustration over surge pricing"
ENTITY	PayPal Holdings Inc. announced plans to launch a new cryptocurrency trading feature on its platform	#COMPANY announced plans to launch a new #PRODUCT trading feature on its platform
OTHER	"Spotify Technology S.A. reported a decline in monthly active users, raising concerns among investors"	"#COMPANY reported a decline in monthly active users, raising concerns among investors"
ENTITY	"Square Enix Holdings Co., Ltd. announced a partnership with Sony Interactive Entertainment to develop exclusive gaming content"	#COMPANY announced a partnership with #COMPANY to develop exclusive gaming content
OTHER	Activision Blizzard faced backlash over allegations of workplace harassment and discrimination	#COMPANY faced backlash over allegations of workplace harassment and discrimination
ENTITY	"Nintendo Co., Ltd. reported strong sales of its Switch console, driven by demand for gaming during the pandemic"	"#COMPANY reported strong sales of its #PRODUCT, driven by demand for gaming during the pandemic"
OTHER	Pinterest Inc. faced criticism over its handling of misinformation and disinformation on its platform	#COMPANY faced criticism over its handling of misinformation and disinformation on its platform
ENTITY	Sony Corporation announced plans to launch its next-generation PlayStation 5 gaming console	#COMPANY announced plans to launch its next-generation #PRODUCT gaming console
OTHER	"Dropbox Inc. announced plans to transition to a fully remote workforce, citing the success of remote work during the pandemic"	"#COMPANY announced plans to transition to a fully remote workforce, citing the success of remote work during the pandemic"
ENTITY	"Slack Technologies Inc. faced service disruptions, affecting communication and collaboration among users"	"#COMPANY faced service disruptions, affecting communication and collaboration among users"
OTHER	"Tesla Inc. faced scrutiny over its Autopilot technology, following reports of accidents and safety concerns"	"#COMPANY faced scrutiny over its #PRODUCT technology, following reports of accidents and safety concerns"
ENTITY	Amazon.com Inc. announced plans to launch a new grocery store chain under its Fresh brand	#COMPANY announced plans to launch a new #PRODUCT chain under its Fresh brand
ENTITY	Alphabet Inc.'s subsidiary Waymo announced plans to expand its autonomous vehicle fleet	#COMPANY's subsidiary #COMPANY announced plans to expand its autonomous vehicle fleet
OTHER	"Netflix Inc. faced backlash over its decision to cancel popular TV shows, sparking outrage among fans"	"#COMPANY faced backlash over its decision to cancel popular TV shows, sparking outrage among fans"
ENTITY	"Alibaba Group Holding Ltd. reported strong sales during its Singles' Day shopping event, setting new records"	"#COMPANY reported strong sales during its Singles' Day shopping event, setting new records"
OTHER	"Facebook Inc. announced a rebranding initiative, changing its corporate name to Meta Platforms Inc."	"#COMPANY announced a rebranding initiative, changing its corporate name to #COMPANY Inc."
ENTITY	"Adobe Systems Incorporated unveiled the latest version of its Creative Suite software, featuring enhanced design tools"	"#COMPANY unveiled the latest version of its #PRODUCT software, featuring enhanced design tools"
OTHER	Microsoft Corporation faced regulatory scrutiny over its proposed acquisition of video game publisher Activision Blizzard	#COMPANY faced regulatory scrutiny over its proposed acquisition of video game publisher #COMPANY
ENTITY	IBM Watson Health announced a partnership with the Mayo Clinic to develop AI-powered healthcare solutions	#COMPANY announced a partnership with the #ORGANIZATION to develop AI-powered healthcare solutions
OTHER	"Tesla Motors Inc. faced production delays for its Model 3 electric car, impacting delivery timelines"	"#COMPANY faced production delays for its #PRODUCT electric car, impacting delivery timelines"
ENTITY	Salesforce.com Inc. announced plans to acquire workplace chat platform Slack Technologies for $27.7 billion	#COMPANY announced plans to acquire workplace chat platform #COMPANY for $27.7 billion
OTHER	"Twitter Inc. unveiled a new feature called 'Spaces,' allowing users to participate in live audio conversations"	"#COMPANY unveiled a new feature called 'Spaces,' allowing users to participate in live audio conversations"
ENTITY	Uber Technologies Inc. announced a partnership with Starbucks Corporation to offer delivery services for coffee and food	#COMPANY announced a partnership with #COMPANY to offer delivery services for coffee and food
OTHER	"Airbnb Inc. faced criticism over its response to reports of discrimination on its platform, prompting calls for reforms"	"#COMPANY faced criticism over its response to reports of discrimination on its platform, prompting calls for reforms"
ENTITY	Zoom Video Communications Inc. announced plans to expand its product offerings with the launch of a virtual events platform	#COMPANY announced plans to expand its #PRODUCT offerings with the launch of a virtual events platform
OTHER	"LinkedIn Corporation faced a data breach, exposing the personal information of millions of users"	"#COMPANY faced a data breach, exposing the personal information of millions of users"
ENTITY	Netflix Inc. announced a partnership with renowned director Steven Spielberg to produce original films for its streaming platform	#COMPANY announced a partnership with renowned director #PERSON to produce original films for its streaming platform
OTHER	"Amazon.com Inc. faced criticism over its environmental impact, with concerns raised about its carbon footprint"	"#COMPANY faced criticism over its environmental impact, with concerns raised about its carbon footprint"
ENTITY	Alphabet Inc.'s Google announced plans to invest $1 billion in renewable energy projects to reduce its carbon emissions	#COMPANY's #COMPANY announced plans to invest $1 billion in renewable energy projects to reduce its carbon emissions
OTHER	Microsoft Corporation unveiled its new Surface Laptop featuring the latest Intel processors and Windows 11 operating system	#COMPANY unveiled its new #PRODUCT featuring the latest #TECHNOLOGY and #TECHNOLOGY operating system
ENTITY	"Tesla Inc. faced controversy over its CEO Elon Musk's tweets, with regulators investigating potential market manipulation"	"#COMPANY faced controversy over its CEO #PERSON's tweets, with regulators investigating potential market manipulation"
OTHER	Facebook Inc. announced plans to launch a new virtual reality social platform called Horizon Workrooms for remote collaboration	#COMPANY announced plans to launch a new virtual reality social platform called #PRODUCT for remote collaboration
ENTITY	"IBM Corporation reported strong growth in its cloud computing division, driven by increased demand for hybrid cloud solutions"	"#COMPANY reported strong growth in its #TECHNOLOGY division, driven by increased demand for #TECHNOLOGY solutions"
OTHER	"Amazon.com Inc. faced criticism from labor groups over working conditions at its fulfillment centers, leading to calls for unionization"	"#COMPANY faced criticism from labor groups over working conditions at its fulfillment centers, leading to calls for unionization"
ENTITY	Alibaba Group Holding Ltd. reported record sales of $84 billion during its annual Singles' Day shopping festival	#COMPANY reported record sales of $84 billion during its annual #PRODUCT shopping festival
OTHER	Apple Inc. unveiled its latest iPhone model featuring 5G connectivity and improved camera technology at a virtual event	#COMPANY unveiled its latest #PRODUCT featuring #TECHNOLOGY and #TECHNOLOGY at a virtual event
ENTITY	Microsoft Corporation announced plans to acquire video game developer Activision Blizzard for $68.7 billion	#COMPANY announced plans to acquire video game developer #COMPANY for $68.7 billion
OTHER	"Facebook Inc. faced backlash over its decision to rebrand as Meta Platforms Inc., with critics questioning the company's motives"	"#COMPANY faced backlash over its decision to rebrand as #COMPANY, with critics questioning the company's motives"
ENTITY	Google LLC announced a partnership with SpaceX to provide satellite internet services to remote areas using Starlink technology	
TECHNOLOGY	"Google announced the launch of its new Pixel 6 smartphone, featuring advanced camera technology and AI capabilities"	"#COMPANY announced the launch of its new #PRODUCT smartphone, featuring advanced #TECHNOLOGY and AI capabilities"
FINANCIALS	"Tesla reported record-breaking revenue in its latest quarterly earnings report, driven by strong demand for its electric vehicles"	"#COMPANY reported record-breaking revenue in its latest quarterly earnings report, driven by strong demand for its #PRODUCT"
ACQUISITION	"Microsoft completed its acquisition of Nuance Communications, a leading provider of speech recognition technology, for $19.7 billion"	"#COMPANY completed its acquisition of #COMPANY, a leading provider of #TECHNOLOGY, for $19.7 billion"
STAFFING	"Amazon announced plans to hire 100,000 new employees to support its growing logistics network and expand its delivery capabilities"	#COMPANY announced plans to hire #AMOUNT new employees to support its growing logistics network and expand its delivery capabilities
REGULATORY	"Facebook faced regulatory scrutiny over its data privacy practices, with lawmakers calling for stricter regulations on social media companies"	"#COMPANY faced regulatory scrutiny over its data privacy practices, with lawmakers calling for stricter regulations on #PRODUCT companies"
DECLINE	"General Electric's stock price plummeted following disappointing quarterly earnings results, signaling a decline in investor confidence"	"#COMPANY's stock price plummeted following disappointing quarterly earnings results, signaling a decline in investor confidence"
PARTNERSHIP	IBM and Salesforce announced a strategic partnership to develop AI-powered customer relationship management solutions for enterprise clients	#COMPANY and #COMPANY announced a strategic partnership to develop AI-powered #PRODUCT solutions for enterprise clients
CSR	Apple pledged to invest $430 billion in renewable energy projects and carbon reduction initiatives over the next five years as part of its sustainability efforts	#COMPANY pledged to invest $430 billion in renewable energy projects and carbon reduction initiatives over the next five years as part of its sustainability efforts
MARKET_MOVE	Amazon's stock price surged to a new all-time high following strong sales performance during the holiday shopping season	#COMPANY's stock price surged to a new all-time high following strong sales performance during the holiday shopping season
INNOVATION	"Google unveiled its latest innovation, a quantum computer with the potential to solve complex problems at unprecedented speeds"	"#COMPANY unveiled its latest #PRODUCT, a #TECHNOLOGY with the potential to solve complex problems at unprecedented speeds"
PARTNERSHIP	Microsoft partnered with SpaceX to provide cloud computing services using Starlink's satellite internet network	#COMPANY partnered with #COMPANY to provide #PRODUCT services using #COMPANY's satellite internet network
TECHNOLOGY	Apple introduced a breakthrough in battery technology that extends the battery life of its devices by up to 30%	#COMPANY introduced a breakthrough in #TECHNOLOGY that extends the battery life of its #PRODUCT by up to 30%
STAFFING	"Google announced plans to hire 10,000 new employees for its offices worldwide, with a focus on engineering and technical roles"	"#COMPANY announced plans to hire #AMOUNT new employees for its offices worldwide, with a focus on #JOBTITLE and technical roles"
FINANCIALS	"Facebook reported a 20% increase in revenue for the fiscal year, driven by growth in advertising sales across its platforms"	"#COMPANY reported a 20% increase in revenue for the fiscal year, driven by growth in advertising sales across its #PRODUCT"
DECLINE	General Motors announced layoffs affecting 15% of its workforce as part of a restructuring plan to cut costs and improve profitability	#COMPANY announced layoffs affecting #AMOUNT of its workforce as part of a restructuring plan to cut costs and improve profitability
REGULATORY	Apple faced antitrust investigations from the European Union over allegations of anti-competitive behavior in its App Store policies	#COMPANY faced antitrust investigations from the #LOCATION over allegations of anti-competitive behavior in its #PRODUCT policies
CSR	Microsoft pledged $2 billion to support affordable housing initiatives in Seattle and the surrounding region to address homelessness	#COMPANY pledged $2 billion to support affordable housing initiatives in #LOCATION and the surrounding region to address homelessness
MARKET_MOVE	Tesla's stock price experienced a sharp decline following reports of production delays and supply chain disruptions	#COMPANY's stock price experienced a sharp decline following reports of production delays and supply chain disruptions
INNOVATION	Amazon unveiled a new delivery drone prototype capable of flying up to 30 miles and delivering packages in under 30 minutes	#COMPANY unveiled a new #PRODUCT prototype capable of flying up to 30 miles and delivering packages in under 30 minutes
FINANCIALS	"Alphabet reported better-than-expected earnings for the quarter, driven by strong performance in its advertising and cloud computing divisions"	"#COMPANY reported better-than-expected earnings for the quarter, driven by strong performance in its #PRODUCT and #PRODUCT divisions"
