date	company	relationEntity	relationEntityType	classification	snippet	country	keywords
2023-04-21	Ernst & Young LLP				Pieter Laan of Ernst & Young Accountants LLP, The Netherlands, and Alberto Romeo of EY S.p.A. were present in person	NL	person
2023-04-21	IBM Corp.	Neurodiversity Training International	company		Neurodiversity Training International has been operating since August 2020 and has completed training sessions with IBM	GB	training session|session
2023-04-21	Gartner Inc.				Gartner’s annual CEO survey consistently shows business growth as the highest priority for top executives	US	executive|top executive|survey|growth|business growth|priority
2023-04-21	PricewaterhouseCoopers International Limited	Deloitte LLP	company		Deloitte and PWC Jesper has held management positions in Falck and last as CFO from the SaaS startup AskCody	SE	falck|startup askcody|askcody|position|management position|saas startup askcody
2023-04-21	Wipro Limited			Problems	It further noted that TCS, LTIMindtree, HCL Technologies and Mphasis were most at risk of multiple downgrades while Infosys, Wipro and TechM faced greater earnings risks	IN	it
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		the report said both TCS and Infosys had very disappointing Q4 numbers that brought these concerns	IN	number
2023-04-21	IBM Corp.			Company Info	IBM will also provide its knowledge to help Moderna explore the potential use cases of quantum technologies in life sciences	US	science|use case|life science|case
2023-04-21	IBM Corp.	Moderna Holding B.V.	company		Moderna and IBM scientists will also use an AI foundation model known as MoLFormer, to predict the physical properties of a molecule and understand the characteristics of potential mRNA medicines	US	model known|ai foundation model known|known|foundation model known
2023-04-21	IBM Corp.	Moderna Holding B.V.	company	Agreements	Moderna has signed an agreement with IBM to explore quantum computing and generative artificial intelligence for advancing and expediting its mRNA research	US	
2023-04-21	IBM Corp.	Moderna Holding B.V.	company		Moderna will gain access to IBM’s quantum computing systems, an emerging technology that harnesses quantum mechanics for solving complex problems that cannot be handled efficiently	US	quantum computing system|access|system|computing system
2023-04-21	Wipro Limited	Brahmins	company		Wipro Consumer Care and Lighting on Thursday announced the execution of a definitive agreement to acquire Brahmins	IN	
2023-04-21	Wipro Limited				Wipro has taken the route towards adding Brahmins, a home grown legacy brand in Kerala, into its growing Food Business	IN	business|food business|growing food business
2023-04-21	Wipro Limited	Brahmins	company		Wipro Consumer Care buys Kerala-based Brahmins	IN	consumer care|care
2023-04-21	Wipro Limited				to Cook category, Wipro has taken the route towards adding Brahmins, a home grown legacy brand in Kerala, into its growing Food Business	IN	route
2023-04-21	PricewaterhouseCoopers International Limited	Quinn Insurance Limited	company		Prior to the case settling last year, insolvent Quinn Insurance was seeking €900 million for PwC’s supposed negligent auditing of the business between 2005 and 2008	GB	auditing
2023-04-21	PricewaterhouseCoopers International Limited				PwC paid €53 million to make the €900 million lawsuit	IE	lawsuit
2023-04-21	PricewaterhouseCoopers International Limited				PwC, which denied negligence, was also sued for breach of contract and duty	GB	breach|duty
2023-04-21	PricewaterhouseCoopers International Limited				Citing people familiar with the settlement, the publication said neither PwC nor Quinn Insurance’s administrators have confirmed the sum	IE	sum
2023-04-21	Tata Consultancy Services Limited	HCL Technologies Limited	company		Some of the growth indicated by HCL Tech is running contrary to the commentary provided by both Tata Consultancy Services Ltd. and Infosys Ltd., especially within sub-verticals of BFSI, the company said	IN	growth|sub vertical|commentary
2023-04-21	Infosys Limited				The founder of Infosys, N R Narayana Murthy, downplayed concerns in a recent interview with CNBC	IN	interview|concern
2023-04-21	Infosys Limited	Narayana Murthy	person	Founding	Murthy founded Infosys, now a software services global	IN	
2023-04-21	IBM Corp.				IBM’s revenue today is lower than it was at the end of 2001	US	revenue
2023-04-21	IBM Corp.			Staffing	IBM and Capgemini have over 1 lakh employees each here	IN	here
2023-04-21	IBM Corp.			Technology	IBM to use quantum computing and AI in medical research	GB	computing|quantum computing|ai|medical research|research
2023-04-21	Infosys Limited				Infosys put up a weak show	IN	weak show|show
2023-04-21	Accenture Inc.				Accenture reports that 63 per cent of CEOs pointed out difficulty in measuring environmental, social and corporate governance data across the value chain as a major obstacle to achieving sustainability	NG	sustainability
2023-04-21	Accenture Inc.	United Nations Global Compact	org	Partnerships	Under the programme, UN Global Compact in collaboration with Accenture, a global digital, cloud and security services company aims to incorporate and advance sustainability across Dangote Group supply chain in Nigeria	NG	
2023-04-21	Infosys Limited				Infosys founder Narayana Murthy has a different perspective on the growing importance of AI	US	importance
2023-04-21	Infosys Limited				However, as per information from the Indian Express, Infosys founder Narayana Murthy has a different perspective on the growing importance of AI	US	different perspective|perspective
2023-04-21	Tata Consultancy Services Limited|Wipro Limited	Wipro Limited	company		Shares of Tech Mahindra(up 0.78 per cent), Wipro(up 0.57 per cent) and Tata Consultancy(up 0.49 per cent) ended the day as top gainers in the pack	IN	gainer|share|pack|day|top gainer
2023-04-21	Infosys Limited	ITC	company		In fact, ITC's recent surge is slowly narrowing the gap in market capitalisation with India's second largest IT services company Infosys	IN	market capitalisation|surge|capitalisation
2023-04-21	Wipro Limited|Infosys Limited				HCL Technologies(up 1.73 per cent), Wipro(up 0.66 per cent), Infosys(up 0.34 per cent), Tata Consultancy(up 0.25 per cent) and LTIMindtree Ltd(up 0.17 per cent) were among the top gainers	IN	gainer|technology|hcl technology|top gainer
2023-04-21	IBM Corp.	GlobalFoundries	company	Partnerships	GlobalFoundries and IBM worked together on the chip technology for decades, and the former had exclusive licensing rights on the IP since 2015	US	chip technology|technology
2023-04-21	IBM Corp.	GlobalFoundries	company		IBM is seemingly trying to recruit GlobalFoundries engineers at an accelerated pace	US	engineer
2023-04-21	IBM Corp.				GlobalFoundries says IBM is infringing its IP	US	ip
2023-04-21	IBM Corp.				Furthermore, besides spilling its trade secrets to competitors, IBM is seemingly trying to recruit GlobalFoundries engineers at an accelerated pace after partnering with Rapidus in December 2022	US	
2023-04-21	IBM Corp.				besides spilling its trade secrets to competitors, IBM	US	trade secret|competitor|secret
2023-04-21	Wipro Limited	Asian Paints	company		The Nifty losers include Tech Mahindra, Tata Steel, Hindalco, JSW Steel, and UltraTech, while BPCL, ITC, Asian Paints, Wipro, and Kotak Bank are among the Nifty gainers	IN	bank|nifty gainer|gainer|kotak bank|bpcl|itc
2023-04-21	Infosys Limited				Leading IT companies such as TCS, Infosys and HCLTech have highlighted weaknesses and challenges in BFSI, Telecom, Hi-tech, Manufacturing and retail verticals as clients	IN	weakness|hcltech|client|challenge
2023-04-21	IBM Corp.				On the other hand, IBM traded in the green after it said margins were expanding,” reported Trading Economics	ZA	green
2023-04-21	KPMG A/S	Portershed	company	Service Agreements	In addition to funding and support from AIB and the REDF, PorterShed is also backed by KPMG	IE	
2023-04-21	Infosys Limited				Infosys and Nestle on the other hand are among the top losers today	US	loser|top loser
2023-04-21	Wipro Limited				Wipro arm acquires Kerala-based ready-to-cook brand Brahmins	IN	brahmin|brand brahmin|ready to cook brand brahmin|arm
2023-04-21	WTW				The 6thannual political risk survey produced by WTW, found that an unprecedented 92%	GB	risk survey|survey|political risk survey
2023-04-21	Accenture Inc.	Mynt	company		Accenture, Mynt and Maya made it to the top three spots of LinkedIn’s 2023 Top Companies List in the Philippines, the third rendition of the yearly roll, which draws data from the professional networking-focused social media platform	PH	companies list|spot|top companies list|philippines|list|maya
2023-04-21	Accenture Inc.				at Accenture, where he led the Workforce Excellence offering for the Travel practice,	NL	practice|travel practice
2023-04-21	Fti Consulting Inc. Holding	Europe	location		FTI Consulting has bolstered its Aviation practice in Europe with the hire of a team of four consultants, who have joined the firm’s Amsterdam and London offices	FR	practice|hire|aviation practice
2023-04-21	Fti Consulting Inc. Holding	Christopher Jacobi	person	New Employees	At FTI Consulting, Jacobi has been appointed at Senior Director, based in London, while Zhiguleva has been installed as a Director, operating out of Amsterdam	NL	
2023-04-21	FTI Consulting Inc.				FTI Consulting welcomes human capital-focused aviation team	FR	aviation team|capital focused aviation team|team|human capital focused aviation team
2023-04-21	Wipro Limited			Product Growth|Market Share Growth	Wipro, best known for its soap brand Santoor and Yardley talcum powder, aims to expand and consolidate its business in the spices, breakfast and ready-to-cook category	IN	
2023-04-21	Wipro Limited	Vineet Agrawal	person		The high-quality standards adopted by Brahmins have played a key role in making it one of the most significant players in the market," said Vineet Agrawal, CEO of Wipro Consumer and MD at Wipro Enterprises	IN	enterprise
2023-04-21	IBM Corp.		product		Maersk (Maersk) and IBM had managed to obtain commitments for over 50 percent of the global shipping container	SE	commitment
2023-04-21	Accenture Inc.				technology services and consulting firm Accenture emerged as the top company	PH	top company|company
2023-04-21	Gartner Inc.				Gartner, Inc. Sees Significant Growth in Short Interest	US	growth|significant growth
2023-04-21	Gartner Inc.				Recognizing this need, Gartner has identified Appknox as the leading solution for addressing mobile app security requirements	AE	solution|leading solution
2023-04-21	Gartner Inc.				Appknox, a leading mobile security testing platform, was recognized by Gartner in their latest Report	AE	report
2023-04-21	Gartner Inc.				Gartner has identified Appknox as the leading solution for addressing mobile app security requirements	AE	app security requirement|security requirement|mobile app security requirement|requirement
2023-04-21	Infosys Limited				Bernstein believes that Infosys is well positioned in the cloud/digital space and will benefit as demand recovers	IN	cloud|digital space|space
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		Indian IT companies including TCS, Infosys, and HCL Tech have reported a slowdown	IN	tech|hcl tech|it company|company|slowdown
2023-04-21	IBM Corp.				IBM Cost of a Data Breach Report, companies with fully deployed security AI and automation systems save $3.05 million per data breach	US	automation system|system|cost|company
2023-04-21	Accenture Inc.	Clive Butkow	person		Accenture, in 2016 Clive Butkow finally took the plunge and launched his own venture capital company	ZA	
2023-04-21	Wipro Limited				Wipro’s market capitalization fell by around Rs 94,000 crore	IN	capitalization|market capitalization
2023-04-21	Infosys Limited	United States	location		Infosys, Tata Consultancy Services, and Wipro have seen significant erosion in market cap as macroeconomic slowdown in the US and Europe clouded earnings growth outlook for the IT sector	US	cap|erosion|significant erosion|market cap
2023-04-21	Wipro Limited				In the PRP reference document, Wipro tells candidates	IN	candidate|document|reference document
2023-04-21	Wipro Limited				Wipro has told all freshers, including those who have undergone training under its Velocity programme, that they will have to complete another training programme	IN	fresher|all fresher
2023-04-21	Wipro Limited				Wipro asks freshers to pass another assessment	IN	fresher
2023-04-21	Willis Towers Watson PLC				Profile () Willis Towers Watson Plc engages in the provision of advisory, broking, and solutions services	IN	provision
2023-04-21	Willis Towers Watson PLC				Willis Towers Watson Public Hedge funds have recently modified their holdings of the stock	IN	holding|fund|hedge fund
2023-04-21	Willis Towers Watson PLC			Publishing Numbers	Willis Towers Watson Public had a return on equity of 14.53% and a net margin of 11.38%	AM	return
2023-04-21	Wipro Limited				Wipro Consumer Care and Lighting to acquire spice brand Brahmins	IN	consumer care|brahmin|spice brand brahmin|brand brahmin|lighting|care
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		As quarterly results of TCS and Infosys have been disappointing	IN	result
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		As TCS guidance failed to inject enthusiasm in the markets, Infosys	IN	guidance
2023-04-21	Infosys Limited				Infosys was also not able to lift the morale of Dalal Street bulls	IN	morale
2023-04-21	Aon PLC Holding			Publishing Numbers	AON to Release Earnings on Friday	IN	earning
2023-04-21	Aon PLC Holding			Publishing Numbers	AON to post $15 EPS for the current fiscal year and $16 EPS for the next fiscal year	US	average|analyst
2023-04-21	Aon PLC Holding				AON Increases Dividend Want More Great Investing Ideas	US	idea|dividend|investing idea|increases dividend
2023-04-21	Aon PLC Holding			Publishing Numbers	AON Set to Announce Earnings on Friday	US	
2023-04-21	Accenture Inc.	Amazon Inc.	company		The list of companies working with Amazon to design and deliver the new curricula includes Accenture, BNY Mellon, Bank of America, Citi, Deloitte EY, KPMG, and PwC	US	bank|mellon|bny mellon|company|curriculum
2023-04-21	IBM Corp.				International Business Machines Co. gapped up prior to trading on Thursday following a stronger than expected earnings report	IN	
2023-04-21	IBM Corp.			Publishing Numbers	International Business Machines had a return on equity of 41.24% and a net margin of 2.71%	AM	return
2023-04-21	Infosys Limited			Products	More than 20 companies such as Tata Communications, Larsen & Toubro, Capgemini, Infosys and GMR have applied to obtain spectrum to deploy a captive 5G network	IN	company
2023-04-21	Accenture Inc.			Publishing Numbers	Comparatively, Accenture has a beta	IN	beta
2023-04-21	Accenture Inc.			Publishing Numbers	Volatility & Risk Accenture has a beta	US	beta
2023-04-21	Accenture Inc.	Conduent Inc.	company	Competition	Conduent is trading at a lower price-to-earnings ratio than Accenture, indicating that it is currently the more affordable of the two stocks	US	price to earnings ratio|ratio
2023-04-21	Gartner Inc.				Gartner, which found that 85%	US	
2023-04-21	Wipro Limited	Adani Enterprises Limited	company		ITC, TCS, Asian Paints, L&T, Adani Enterprises and Wipro were among the gainers during the morning trade on Thursday while BCG, Gland, ICICI Securities and EKI Energy Services were some of the laggards on BSE	IN	tcs|gainer|paint|itc|asian paint|l&t
2023-04-21	IBM Corp.	Morgan Stanley	company		There was also little inspiration from the corporate world after Morgan Stanley and tech titan IBM reported better-than-expected earnings but Tesla missed expectations with profits down about a quarter	US	
2023-04-21	Tata Consultancy Services Limited				Tata Consultancy Services(#1) has emerged as thetopcompany this year	IN	top company|company
2023-04-21	Accenture Inc.				services and consulting firm Accenture, as well as the parent companies of fintech platforms GCash and Maya, led LinkedIns list this year	PH	linkedins list|company|list|maya
2023-04-21	Wipro Limited				Wipro Consumer Care & Lighting acquires Kerala-based ready-to-cook brand Brahmins	IN	& lighting|care & lighting|brahmin|brand brahmin|ready to cook brand brahmin|lighting|consumer care & lighting
2023-04-21	Wipro Limited	Azim Premji	person		Part of Azim Premji-led Wipro Enterprises	IN	foods segment|enterprise|segment
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		The Q4 prints of TCS, Infosys and HCL Tech have highlighted weakness and challenges in BFSI (Banking, Financial Services, Insurance), telecom, hi-tech, manufacturing and retail verticals as clients	IN	tech|weakness|print|hcl tech|client|challenge
2023-04-21	IBM Corp.		product		It also means that three of IBM’s proprietary hardware platforms are now present in its cloud	GB	cloud|hardware platform|proprietary hardware platform|platform
2023-04-21	IBM Corp.		product		IBM has taken a longer-than-usual stride towards making its proprietary hardware platforms cloudier, by offering bare metal LinuxONE boxes in the big blue cloud	GB	cloud|blue cloud|stride|longer than usual stride
2023-04-21	IBM Corp.				IBM starts renting cloudy bare metal Linux almost-mainframes	GB	cloudy bare metal linux almost mainframe|linux almost mainframe|almost mainframe|bare metal linux almost mainframe|metal linux almost mainframe
2023-04-21	IBM Corp.				IBM promotes LinuxONE as offering just about the same level of hardware resilience as mainframes	GB	linuxone
2023-04-21	IBM Corp.				IBM reckons greenfield sites	GB	greenfield site|site
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		HCL Tech shares climbed over 3% in early trade, whereas TCS, Infosys, and Wipro gained nearly 1% on the BSE	IN	bse
2023-04-21	Bain & Co.	European Union	location		EU, the Bain report	US	said
2023-04-21	Wipro Limited	Titan	company		Kotak Mahindra, Asian Paints, Titan, Wipro and IndusInd Bank also opened higher	IN	bank|mahindra|paint|kotak mahindra|asian paint|indusind bank
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		TCS and Infosys' very disappointing 4Q23 prints have brought this lingering concern	IN	print|lingering concern|concern
2023-04-21	Tata Consultancy Services Limited				The brokerage said Tata Consultancy Services, LTIMindtree, HCL Technologies, and Mphasis are most at risk of multiple downgrades while Infosys, Wipro, and TechM face greater earnings risks	IN	ltimindtree
2023-04-21	Wipro Limited			Problems	Tata Consultancy Services, LTIMindtree, HCL Technologies, and Mphasis are most at risk of multiple downgrades while Infosys, Wipro, and TechM face greater earnings risks	IN	ltimindtree
2023-04-21	Accenture Inc.	Leonardo	company	General|Coworks|Supply Deals	Working with Microsoft and Accenture, Leonardo	GB	
2023-04-21	Tata Consultancy Services Limited				India's largest IT firm, Tata Consultancy Services , has emerged as the top company	IN	it firm|firm|top company|company
2023-04-21	Tata Consultancy Services Limited				largest IT firm, Tata Consultancy Services , has emerged as the top company	IN	it firm|firm|top company|company
2023-04-21	Tata Consultancy Services Limited				TCS Tops Linkedin's 2023 List Of India's Best Companies	IN	
2023-04-21	Infosys Limited				Infosys Oracle practice has developed Infosys Solution Extension Platform, a scalable, multi-tenant SaaS-enabled platform that offers lower operating costs, easy maintenance, and upgrades	US	practice|solution extension platform|extension platform|oracle practice|platform
2023-04-21	IBM Corp.	GlobalFoundries	company	Being Sued	Chip manufacturer GlobalFoundries said today it had filed a lawsuit against IBM, accusing it of unlawfully sharing confidential intellectual property and trade secrets	BE	it
2023-04-21	Gartner Inc.				Gartner, which found 85% of its survey respondents	US	survey respondent|respondent
2023-04-21	Infosys Limited	TCS Group Holding PLC	company		TCS, Infosys and Wipro are pretty much similar in terms of the service offerings, in terms of what they are trying to do, whereas HCL Tech always was differentiating	US	term
2023-04-21	Infosys Limited	HCL Technologies Limited	company		Infosys, HCL Tech, Tata Steel and SBI are trading at PEs lower than their respective industry PEs, according to Trendlyne data	IN	trendlyne data|data|pes
2023-04-21	Tata Consultancy Services Limited				Tata Consultancy Services CEO K Krithivasan has been mandated to focus on customers	IN	focus
2023-04-21	Gartner Inc.				This prediction is underscored by Gartner	US	prediction
2023-04-21	IBM Corp.	Google Inc.	company		like Google, IBM are teaching data analytics while Meta is teaching software development,” he said	IN	data analytic|analytic
2023-04-21	Tata Consultancy Services Limited|Infosys Limited	Tata Consultancy Services Limited	company		Industry leadersTata Consultancy Services and Infosysreported weaker-than-expected numbers but smaller rivals HCL Technologies, Mastek and Cyient surprised the Street positively	US	
2023-04-21	Infosys Limited				Infosys has given revenue guidance	IN	guidance|revenue guidance
2023-04-21	Tata Consultancy Services Limited			Milestones	to ITC, companies like Reliance Industries, Tata Consultancy Services, HDFC, Infosys, ICICI Bank, Hindustan Unilever, Life Insurance Corp Of India, State Bank of India, and Bharti Airtel have achieved this milestone	IN	milestone|corp|hdfc|company
2023-04-21	Ernst & Young LLP			Rights	at Ernst & Young LLP where he obtained his public accounting license	BR	career|assurance group|group
2023-04-21	Bain & Co.	Jamie Inc.	company		Prior to joining Bain Capital Credit, Jamie worked at Bain and Company where he focused a considerable amount of his time in the private equity group	US	
2023-04-21	Bain & Co.				Bain remains banned from public sector work	US	public sector work|work|sector work
2023-04-21	Wipro Limited				Wipro will absorb Brahmins' current workforce, excluding the manufacturing workforce	IN	workforce
2023-04-21	Wipro Limited				Wipro Consumer Care acquires Kerala-based Brahmins brand	IN	consumer care|brand|brahmins brand|care
2023-04-21	IBM Corp.	Morgan Stanley	company		after Morgan Stanley and tech titan IBM reported better-than-expected earnings but Tesla missed expectations with profits down about a quarter	US	
2023-04-21	Wipro Limited				Wipro Consumer Care and Lighting has acquired Kerala-based ready-to-cook brand Brahmins in an all-cash deal	IN	consumer care|deal|brahmin|all cash deal|brand brahmin|ready to cook brand brahmin|lighting|care
2023-04-21	Wipro Limited				co Wipro Consumer Care buys Brahminsin all cash deal	IN	consumer care|brahminsin|deal|cash deal|all cash deal|care
2023-04-21	Wipro Limited				Though Wipro Consumer Care didn’t disclose the size of the acquisition, its CEO Vineet Agrawal	IN	consumer care|size|care
2023-04-21	IBM Corp.	Citibank	company	Procure Supply|General|Coworks	He said IBM was working with Citi to use AI for auditing and compliance	IN	
2023-04-21	IBM Corp.			Technology	IBM was working with Citi to use AI for auditing and compliance	IN	
2023-04-21	IBM Corp.			Selling Assets	Last year, IBM said it was selling health-care data and analytics assets to Francisco Partners	IN	data|partner|francisco partner|health care data|analytics asset|it|asset
2023-04-21	IBM Corp.			Publishing Numbers	IBM’s consulting unit delivered $4.96 billion in revenue, up almost 3% compared to the year-earlier period, but lower than the StreetAccount consensus	IN	revenue|unit|consulting unit
2023-04-21	IBM Corp.				In terms of guidance, IBM called for full-year revenue growth of 3% to 5% in constant currency	US	term|currency
2023-04-21	Aon PLC Holding				Aon’s initiatives to help clients tackle climate risk here	US	here|initiative|client|risk|climate risk
2023-04-21	Aon PLC Holding				Aon’s President Eric Andersen recently testified before the U.S. Senate Budget Committee to discuss the role insurance	US	committee
2023-04-21	Aon PLC Holding				Aon for seven ways to protect your home	US	way|home
2023-04-21	Aon PLC Holding				Additionally, Aon’s research shows that Hurricane Ian in the United States was the second-costliest natural catastrophe in history from an insurance perspective, with approximately $50-55 billion total insured losses	US	research
2023-04-21	Aon PLC Holding				In the wake of Hurricane Ian, Aon sent a team of engineers, meteorologists and hydrologists to the impacted area	US	area|a team|wake|impacted area|hydrologist|team
2023-04-21	IBM Corp.			Publishing Numbers	IBM reported first-quarter revenue of US$14.3bil (RM63.4bil),	US	revenue
2023-04-21	IBM Corp.				although growth at the Red Hat unit was 8%, the smallest increase since the business was acquired by IBM in 2019 for about US$33bil	US	increase
2023-04-21	IBM Corp.		product		IBM continued to monetise intellectual property from that business unit after the completion of the deal	US	unit|business unit|intellectual property|property
2023-04-21	Wipro Limited	Brahmins Foods	company		Wipro Consumer Care and Lighting agreed to acquire Kerala-based packaged foods company Brahmins Foods on Thursday,	IN	consumer care|lighting|care
